,Encoder,Experiment,Generator,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
0,OpenClip,IDDPM,LDM,0.7699999809265137,0.852596640586853,0.8426529765129089,0.8259620070457458,0.6050612330436707,0.47582343220710754,0.0,0.8469056487083435,0.15734702348709106,0.14740335941314697
1,OpenClip,IDDPM,Diff-ProjectedGAN,0.7490000128746033,0.8216087818145752,0.8445936441421509,0.8091760873794556,0.5996617674827576,0.4947414696216583,0.0,0.8320110440254211,0.15540635585784912,0.1783912181854248
2,OpenClip,IDDPM,IDDPM,0.777999997138977,0.877140998840332,0.8326579928398132,0.8209806680679321,0.6152551770210266,0.5112131237983704,0.0,0.8538756966590881,0.16734200716018677,0.12285900115966797
3,OpenClip,IDDPM,DDPM,0.7670000195503235,0.8384632468223572,0.8551875948905945,0.8221892714500427,0.6078270077705383,0.4695369005203247,0.0,0.8459062576293945,0.14481240510940552,0.16153675317764282
4,OpenClip,IDDPM,ADM,0.7699999809265137,0.8517528176307678,0.8428924083709717,0.7808574438095093,0.43169012665748596,0.31586623191833496,0.0,0.8468681573867798,0.15710759162902832,0.14824718236923218
5,OpenClip,IDDPM,ProjectedGAN,0.7580000162124634,0.8442929983139038,0.835805356502533,0.8161900043487549,0.6199383735656738,0.5371630191802979,0.0,0.8395165801048279,0.16419464349746704,0.1557070016860962
6,OpenClip,IDDPM,StyleGAN,0.7620000243186951,0.8345559239387512,0.8502604365348816,0.8103853464126587,0.5469810962677002,0.48654064536094666,0.0,0.8417320847511292,0.1497395634651184,0.16544407606124878
7,OpenClip,IDDPM,PNDM,0.7580000162124634,0.8401128053665161,0.8422917127609253,0.8327019214630127,0.688133716583252,0.6364960670471191,0.0,0.8408421277999878,0.1577082872390747,0.1598871946334839
8,OpenClip,IDDPM,coco,0.6480000019073486,0.8087575435638428,0.7409722805023193,0.47770020365715027,0.06679341197013855,0.04210956394672394,0.0,0.7725195288658142,0.25902771949768066,0.19124245643615723
9,OpenClip,IDDPM,Diff-StyleGAN2,0.7599999904632568,0.8493310213088989,0.8355558514595032,0.8175055384635925,0.6279118657112122,0.5423935055732727,0.0,0.841796338558197,0.16444414854049683,0.15066897869110107
10,OpenClip,IDDPM,ProGAN,0.7540000081062317,0.8176267147064209,0.855775773525238,0.8327603340148926,0.6859526038169861,0.6455201506614685,0.0,0.835264265537262,0.14422422647476196,0.1823732852935791
11,OpenClip,Diff-ProjectedGAN,LDM,0.7269999980926514,0.7559853792190552,0.8609486818313599,0.8019310235977173,0.5789602994918823,0.4680693447589874,0.0,0.8044028282165527,0.13905131816864014,0.24401462078094482
12,OpenClip,Diff-ProjectedGAN,Diff-ProjectedGAN,0.7540000081062317,0.7878833413124084,0.8711956143379211,0.8385732173919678,0.7015283107757568,0.6462998986244202,0.0,0.8265259265899658,0.12880438566207886,0.21211665868759155
13,OpenClip,Diff-ProjectedGAN,IDDPM,0.5139999985694885,0.4705687165260315,0.8016044497489929,0.5789543390274048,0.2132226824760437,0.13672226667404175,0.0,0.5925241708755493,0.19839555025100708,0.5294312834739685
14,OpenClip,Diff-ProjectedGAN,DDPM,0.5860000252723694,0.5602383017539978,0.8401737213134766,0.6597539186477661,0.23042035102844238,0.08893950283527374,0.0,0.6717223525047302,0.15982627868652344,0.4397616982460022
15,OpenClip,Diff-ProjectedGAN,ADM,0.44200000166893005,0.36308661103248596,0.774732232093811,0.5498520135879517,0.1789793223142624,0.09615286439657211,0.0,0.4932469427585602,0.22526776790618896,0.636913388967514
16,OpenClip,Diff-ProjectedGAN,ProjectedGAN,0.7590000033378601,0.7962002754211426,0.8732295036315918,0.837054967880249,0.6995595693588257,0.6368972659111023,0.0,0.832573413848877,0.1267704963684082,0.20379972457885742
17,OpenClip,Diff-ProjectedGAN,StyleGAN,0.7250000238418579,0.7458994388580322,0.8714173436164856,0.7830517292022705,0.5575328469276428,0.43939465284347534,0.0,0.8023409843444824,0.1285826563835144,0.2541005611419678
18,OpenClip,Diff-ProjectedGAN,PNDM,0.7400000095367432,0.7541373372077942,0.8775389790534973,0.7916401624679565,0.5625971555709839,0.42076897621154785,0.0,0.810075044631958,0.12246102094650269,0.2458626627922058
19,OpenClip,Diff-ProjectedGAN,coco,0.7089999914169312,0.8962673544883728,0.7640349864959717,0.45952650904655457,0.05431831255555153,0.030568940564990044,0.0,0.8241649866104126,0.23596501350402832,0.1037326455116272
20,OpenClip,Diff-ProjectedGAN,Diff-StyleGAN2,0.7459999918937683,0.7765278220176697,0.8776021003723145,0.8213947415351868,0.6767167448997498,0.6490929126739502,0.0,0.8233187794685364,0.12239789962768555,0.22347217798233032
21,OpenClip,Diff-ProjectedGAN,ProGAN,0.7689999938011169,0.7921229004859924,0.883761465549469,0.8472442626953125,0.7234313488006592,0.7032845616340637,0.0,0.8352121114730835,0.116238534450531,0.20787709951400757
22,OpenClip,LDM,LDM,0.7590000033378601,0.9055727124214172,0.7937978506088257,0.8355135917663574,0.6645159125328064,0.6059956550598145,0.0,0.8455520868301392,0.20620214939117432,0.09442728757858276
23,OpenClip,LDM,Diff-ProjectedGAN,0.7509999871253967,0.8878044486045837,0.802612841129303,0.8152568936347961,0.6022499799728394,0.5666141510009766,0.0,0.8419275879859924,0.19738715887069702,0.11219555139541626
24,OpenClip,LDM,IDDPM,0.7369999885559082,0.8648301959037781,0.8085662126541138,0.6547579765319824,0.2596442401409149,0.1484675407409668,0.0,0.8349922895431519,0.19143378734588623,0.13516980409622192
25,OpenClip,LDM,DDPM,0.7160000205039978,0.8556652069091797,0.7922000885009766,0.6922529935836792,0.3740638196468353,0.2373870313167572,0.0,0.8220371007919312,0.20779991149902344,0.1443347930908203
26,OpenClip,LDM,ADM,0.6359999775886536,0.7673537731170654,0.7392372488975525,0.5927883386611938,0.18225862085819244,0.14116419851779938,0.0,0.7521671056747437,0.2607627511024475,0.23264622688293457
27,OpenClip,LDM,ProjectedGAN,0.7490000128746033,0.8976994752883911,0.7949963212013245,0.8076614737510681,0.5990574359893799,0.5421836376190186,0.0,0.8428831696510315,0.20500367879867554,0.10230052471160889
28,OpenClip,LDM,StyleGAN,0.7459999918937683,0.8855108618736267,0.8030017614364624,0.7945258021354675,0.5808154344558716,0.4547605514526367,0.0,0.8412377238273621,0.1969982385635376,0.11448913812637329
29,OpenClip,LDM,PNDM,0.7440000176429749,0.8877954483032227,0.7947622537612915,0.7932878136634827,0.5675292015075684,0.5268320441246033,0.0,0.8382605314254761,0.2052377462387085,0.11220455169677734
30,OpenClip,LDM,coco,0.7279999852180481,0.9476916790008545,0.7528402805328369,0.5282732248306274,0.0911283865571022,0.05433822050690651,0.0,0.8385411500930786,0.24715971946716309,0.05230832099914551
31,OpenClip,LDM,Diff-StyleGAN2,0.7670000195503235,0.9066638350486755,0.807255744934082,0.8277115821838379,0.6669992804527283,0.5642338991165161,0.0,0.8538165092468262,0.19274425506591797,0.09333616495132446
32,OpenClip,LDM,ProGAN,0.7369999885559082,0.8907152414321899,0.7863339781761169,0.8269733190536499,0.6929395794868469,0.6216452717781067,0.0,0.8343855738639832,0.21366602182388306,0.10928475856781006
33,OpenClip,ProjectedGAN,LDM,0.7289999723434448,0.7395867705345154,0.8858076930046082,0.8078119158744812,0.59455406665802,0.4849138557910919,0.0,0.804921567440033,0.11419230699539185,0.2604132294654846
34,OpenClip,ProjectedGAN,Diff-ProjectedGAN,0.7689999938011169,0.7802456617355347,0.8925466537475586,0.8490443229675293,0.7074044346809387,0.6825212836265564,0.0,0.8322629928588867,0.1074533462524414,0.21975433826446533
35,OpenClip,ProjectedGAN,IDDPM,0.5170000195503235,0.45882514119148254,0.8183186650276184,0.6179442405700684,0.21593812108039856,0.10933571308851242,0.0,0.5876544713973999,0.1816813349723816,0.5411748588085175
36,OpenClip,ProjectedGAN,DDPM,0.5730000138282776,0.5221190452575684,0.844809889793396,0.6927348375320435,0.32923123240470886,0.22274287045001984,0.0,0.6443623304367065,0.155190110206604,0.47788095474243164
37,OpenClip,ProjectedGAN,ADM,0.4180000126361847,0.3368195593357086,0.7464696168899536,0.5100425481796265,0.1313025802373886,0.0772203728556633,0.0,0.46313050389289856,0.2535303831100464,0.6631804406642914
38,OpenClip,ProjectedGAN,ProjectedGAN,0.7540000081062317,0.7785345911979675,0.8826326131820679,0.8354482650756836,0.6898545026779175,0.6458573937416077,0.0,0.8267580270767212,0.11736738681793213,0.22146540880203247
39,OpenClip,ProjectedGAN,StyleGAN,0.722000002861023,0.7276059985160828,0.88698410987854,0.7836817502975464,0.5183947086334229,0.41998299956321716,0.0,0.7990043759346008,0.11301589012145996,0.27239400148391724
40,OpenClip,ProjectedGAN,PNDM,0.7229999899864197,0.7316009402275085,0.8772205114364624,0.7894689440727234,0.5798015594482422,0.4800978899002075,0.0,0.7972012162208557,0.1227794885635376,0.26839905977249146
41,OpenClip,ProjectedGAN,coco,0.6880000233650208,0.8662495017051697,0.7541435360908508,0.49109387397766113,0.07861634343862534,0.02961062267422676,0.0,0.8056187629699707,0.24585646390914917,0.13375049829483032
42,OpenClip,ProjectedGAN,Diff-StyleGAN2,0.7459999918937683,0.773137629032135,0.8766673803329468,0.8327360153198242,0.6753001809120178,0.5931493043899536,0.0,0.8200939297676086,0.12333261966705322,0.226862370967865
43,OpenClip,ProjectedGAN,ProGAN,0.7490000128746033,0.769817590713501,0.880216121673584,0.8257092833518982,0.7186457514762878,0.6719301342964172,0.0,0.8210619688034058,0.11978387832641602,0.23018240928649902
44,OpenClip,Diff-StyleGAN2,LDM,0.7110000252723694,0.7181422114372253,0.8693647384643555,0.7882876396179199,0.571122944355011,0.4721966087818146,0.0,0.7853943109512329,0.13063526153564453,0.28185778856277466
45,OpenClip,Diff-StyleGAN2,Diff-ProjectedGAN,0.7670000195503235,0.7790722250938416,0.8937059044837952,0.852459728717804,0.6794973015785217,0.6316288113594055,0.0,0.8318803906440735,0.10629409551620483,0.22092777490615845
46,OpenClip,Diff-StyleGAN2,IDDPM,0.460999995470047,0.3802194893360138,0.81450355052948,0.5595033168792725,0.18994159996509552,0.119093157351017,0.0,0.5175869464874268,0.18549644947052002,0.6197805106639862
47,OpenClip,Diff-StyleGAN2,DDPM,0.5350000262260437,0.4690071642398834,0.8236581683158875,0.646438717842102,0.2784779965877533,0.1833551675081253,0.0,0.5964720249176025,0.17634183168411255,0.5309928357601166
48,OpenClip,Diff-StyleGAN2,ADM,0.414000004529953,0.3229391276836395,0.804002583026886,0.5216406583786011,0.15876762568950653,0.09892753511667252,0.0,0.4591609835624695,0.195997416973114,0.6770608723163605
49,OpenClip,Diff-StyleGAN2,ProjectedGAN,0.7379999756813049,0.7576771378517151,0.8775926828384399,0.8171604871749878,0.6503762006759644,0.6047655344009399,0.0,0.8124884963035583,0.12240731716156006,0.2423228621482849
50,OpenClip,Diff-StyleGAN2,StyleGAN,0.7179999947547913,0.7233719825744629,0.8857882022857666,0.7927371859550476,0.5879923105239868,0.5160317420959473,0.0,0.7960726022720337,0.1142117977142334,0.2766280174255371
51,OpenClip,Diff-StyleGAN2,PNDM,0.7089999914169312,0.7021515965461731,0.8901709914207458,0.774994969367981,0.5556172132492065,0.48717814683914185,0.0,0.7843936681747437,0.10982900857925415,0.2978484034538269
