,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
25,OpenClip,LDM,Diff-StyleGAN2,no,0.9660000205039978,0.9378748536109924,0.9959044456481934,0.9987035989761353,0.9979682564735413,0.9882212281227112,0.8671903014183044,0.9658713340759277,0.004095554351806641,0.06212514638900757
26,OpenClip,LDM,IDDPM,no,0.6309999823570251,0.2953189015388489,0.9666526317596436,0.9146118760108948,0.7473734617233276,0.5953079462051392,0.36203017830848694,0.4503864347934723,0.033347368240356445,0.7046810984611511
27,OpenClip,LDM,ProjectedGAN,no,0.984000027179718,0.9730434417724609,0.9960421323776245,0.9995012879371643,1.0,0.9980307817459106,0.877926230430603,0.9843074083328247,0.003957867622375488,0.026956558227539062
28,OpenClip,LDM,ProGAN,no,0.9909999966621399,0.9843623042106628,0.9981449246406555,0.999686062335968,1.0,0.9961397051811218,0.8884825706481934,0.9911702275276184,0.0018550753593444824,0.015637695789337158
29,OpenClip,LDM,coco,no,0.32100000977516174,0.20461955666542053,0.2522275447845459,0.26094794273376465,0.006068712566047907,0.003899221308529377,0.0,0.22522103786468506,0.7477724552154541,0.7953804433345795
30,OpenClip,LDM,PNDM,no,0.8709999918937683,0.7580346465110779,0.9890962243080139,0.9836005568504333,0.948002278804779,0.9108854532241821,0.6836855411529541,0.8560084700584412,0.010903775691986084,0.24196535348892212
31,OpenClip,LDM,DDPM,no,0.593999981880188,0.21942149102687836,0.9711999893188477,0.912656307220459,0.6693089604377747,0.5890967845916748,0.33950525522232056,0.3560622036457062,0.028800010681152344,0.7805785089731216
32,OpenClip,LDM,LDM,no,0.9020000100135803,0.8094999194145203,0.9975384473800659,0.9935514330863953,0.9780146479606628,0.9586829543113708,0.8073076009750366,0.8931779861450195,0.002461552619934082,0.19050008058547974
33,OpenClip,ProjectedGAN,StyleGAN,no,0.8119999766349792,0.6355985999107361,1.0,0.9924663305282593,0.978804886341095,0.9533565640449524,0.7562716603279114,0.7768436670303345,0.0,0.3644014000892639
34,OpenClip,ProjectedGAN,ADM,no,0.5370000004768372,0.10807538777589798,0.9741538166999817,0.8545746803283691,0.5776687264442444,0.35751333832740784,0.17274826765060425,0.19203022122383118,0.02584618330001831,0.891924612224102
35,OpenClip,ProjectedGAN,Diff-ProjectedGAN,no,0.9829999804496765,0.9708824753761292,0.995903730392456,0.9986558556556702,1.0,0.9959365129470825,0.8244200348854065,0.9832097291946411,0.004096269607543945,0.02911752462387085
36,OpenClip,ProjectedGAN,Diff-StyleGAN2,no,0.9279999732971191,0.8623813986778259,0.9976296424865723,0.9969919919967651,0.9980307817459106,0.9838211536407471,0.8101685643196106,0.9247495532035828,0.0023703575134277344,0.13761860132217407
